rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_n_estimators,param_max_depth,param_min_samples_leaf
1,0.8691086128466466,0.0052329007975352795,0.9191123400309303,0.002852641059099636,43.00792201360067,500,8,20
2,0.8614945272078239,0.006895294171235044,0.9757122582647296,0.001385666595495828,57.17220536867777,500,16,20
3,0.8613534704428828,0.006827890815355065,0.975413609465572,0.0014274070928324248,23.542106707890827,200,16,20
4,0.8593852609042919,0.008288133058260224,0.983221353213438,0.0011910981549561489,61.776471058527626,500,32,20
5,0.8593268169749598,0.008334163797815574,0.9834797897604438,0.001072766228321835,62.62145392100016,500,,20
6,0.858973957851541,0.008752697826305918,0.983230793609041,0.0011808890760172874,24.391680637995403,200,,20
7,0.8589093871097587,0.006237392056697084,0.9835119050970688,0.0008683599880088859,24.046952724456787,200,16,5
8,0.8583487657734908,0.006182921279625702,0.9835468163574661,0.0007144659247823159,12.022895336151123,100,16,5
9,0.8560251973261416,0.007196931177531794,0.9863133037072239,0.0008341357899102539,11.751892646153768,100,16,1
10,0.8524416834682066,0.008078484149108231,0.9927795492117492,0.0005086678204381871,13.102891763051352,100,32,5
11,0.8518528284088916,0.009002757914460638,0.9932867106068439,0.0005220689703980715,26.20869755744934,200,,5
12,0.8510327929652443,0.00827383167519224,0.9932027203792856,0.00043970035944008393,13.228068669637045,100,,5
